macPrefix,vendor,OS_family
1C:42:7D,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
50:29:F5,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
4C:56:9D,"Apple, Inc.",macos
14:C2:13,"Apple, Inc.",macos
38:53:9C,"Apple, Inc.",macos
58:E6:BA,"Apple, Inc.",macos
74:B5:87,"Apple, Inc.",macos
D8:1C:79,"Apple, Inc.",macos
8C:FE:57,"Apple, Inc.",macos
C0:A6:00,"Apple, Inc.",macos
E4:B2:FB,"Apple, Inc.",macos
F8:38:80,"Apple, Inc.",macos
24:1B:7A,"Apple, Inc.",macos
40:26:19,"Apple, Inc.",macos
BC:FE:D9,"Apple, Inc.",macos
80:82:23,"Apple, Inc.",macos
90:E1:7B,"Apple, Inc.",macos
18:81:0E,"Apple, Inc.",macos
60:8C:4A,"Apple, Inc.",macos
A4:D9:31,"Apple, Inc.",macos
FC:B6:D8,"Apple, Inc.",macos
6C:E8:5C,"Apple, Inc.",macos
90:C5:4A,"vivo Mobile Communication Co., Ltd.",android
E0:13:B5,"vivo Mobile Communication Co., Ltd.",android
A4:50:46,Xiaomi Communications Co Ltd,android
70:BB:E9,Xiaomi Communications Co Ltd,android
04:E5:98,Xiaomi Communications Co Ltd,android
70:3A:51,Xiaomi Communications Co Ltd,android
D8:CE:3A,Xiaomi Communications Co Ltd,android
B8:C7:4A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
2C:A9:F0,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
F8:E9:4E,"Apple, Inc.",macos
F4:06:16,"Apple, Inc.",macos
BC:B8:63,"Apple, Inc.",macos
DC:08:0F,"Apple, Inc.",macos
F8:2D:7C,"Apple, Inc.",macos
9C:64:8B,"Apple, Inc.",macos
14:D0:0D,"Apple, Inc.",macos
FC:18:3C,"Apple, Inc.",macos
C0:E8:62,"Apple, Inc.",macos
EC:2C:E2,"Apple, Inc.",macos
64:C7:53,"Apple, Inc.",macos
FC:BE:7B,"vivo Mobile Communication Co., Ltd.",android
38:F9:D3,"Apple, Inc.",macos
44:E6:6E,"Apple, Inc.",macos
E8:36:17,"Apple, Inc.",macos
34:42:62,"Apple, Inc.",macos
C0:9A:D0,"Apple, Inc.",macos
B4:0F:B3,"vivo Mobile Communication Co., Ltd.",android
58:6B:14,"Apple, Inc.",macos
94:B0:1F,"Apple, Inc.",macos
94:F6:D6,"Apple, Inc.",macos
40:BC:60,"Apple, Inc.",macos
70:5E:55,Realme Chongqing MobileTelecommunications Corp Ltd,android
D4:67:D3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
A4:12:32,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
58:C6:F0,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
48:FD:A3,Xiaomi Communications Co Ltd,android
7C:03:5E,Xiaomi Communications Co Ltd,android
2C:5D:34,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
C8:28:32,"Beijing Xiaomi Electronics Co., Ltd.",android
98:09:CF,"OnePlus Technology (Shenzhen) Co., Ltd",android
8C:5A:F8,"Beijing Xiaomi Electronics Co., Ltd.",android
88:5A:06,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
C0:2E:25,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
08:7F:98,"vivo Mobile Communication Co., Ltd.",android
D4:BB:C8,"vivo Mobile Communication Co., Ltd.",android
D8:1E:DD,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
20:34:FB,Xiaomi Communications Co Ltd,android
48:95:07,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
A8:9C:ED,Xiaomi Communications Co Ltd,android
14:9D:99,"Apple, Inc.",macos
98:46:0A,"Apple, Inc.",macos
AC:88:FD,"Apple, Inc.",macos
34:A8:EB,"Apple, Inc.",macos
80:4A:14,"Apple, Inc.",macos
B8:5D:0A,"Apple, Inc.",macos
94:16:25,"Apple, Inc.",macos
A4:83:E7,"Apple, Inc.",macos
F4:AF:E7,"Apple, Inc.",macos
7C:9A:1D,"Apple, Inc.",macos
54:62:E2,"Apple, Inc.",macos
44:18:FD,"Apple, Inc.",macos
70:3C:69,"Apple, Inc.",macos
B8:B2:F8,"Apple, Inc.",macos
00:5B:94,"Apple, Inc.",macos
88:B2:91,"Apple, Inc.",macos
CC:D2:81,"Apple, Inc.",macos
C4:2A:D0,"Apple, Inc.",macos
E0:89:7E,"Apple, Inc.",macos
10:30:25,"Apple, Inc.",macos
84:6F:CE,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
48:83:B4,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
50:EC:50,"Beijing Xiaomi Mobile Software Co., Ltd",android
E0:DC:FF,Xiaomi Communications Co Ltd,android
60:AB:67,Xiaomi Communications Co Ltd,android
24:79:F3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
C4:E3:9F,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
E0:B6:55,"Beijing Xiaomi Electronics Co., Ltd.",android
A0:91:A2,"OnePlus Electronics (Shenzhen) Co., Ltd.",android
7C:D6:61,Xiaomi Communications Co Ltd,android
D0:9C:7A,Xiaomi Communications Co Ltd,android
5C:1C:B9,"vivo Mobile Communication Co., Ltd.",android
48:87:64,"vivo Mobile Communication Co., Ltd.",android
70:DD:A8,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
4C:6F:9C,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
BC:7F:A4,Xiaomi Communications Co Ltd,android
20:F4:78,Xiaomi Communications Co Ltd,android
90:78:B2,Xiaomi Communications Co Ltd,android
B4:C4:FC,Xiaomi Communications Co Ltd,android
F8:E7:A0,"vivo Mobile Communication Co., Ltd.",android
2C:FF:EE,"vivo Mobile Communication Co., Ltd.",android
04:C8:07,Xiaomi Communications Co Ltd,android
C8:3D:DC,Xiaomi Communications Co Ltd,android
30:94:35,"vivo Mobile Communication Co., Ltd.",android
08:B3:AF,"vivo Mobile Communication Co., Ltd.",android
44:23:7C,"Beijing Xiaomi Mobile Software Co., Ltd",android
4C:6B:E8,"Apple, Inc.",macos
CC:66:0A,"Apple, Inc.",macos
FC:1D:43,"Apple, Inc.",macos
8C:86:1E,"Apple, Inc.",macos
18:55:E3,"Apple, Inc.",macos
54:2B:8D,"Apple, Inc.",macos
B8:F1:2A,"Apple, Inc.",macos
88:64:40,"Apple, Inc.",macos
F8:87:F1,"Apple, Inc.",macos
C4:E1:A1,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
F0:C3:71,"Apple, Inc.",macos
30:57:14,"Apple, Inc.",macos
14:95:CE,"Apple, Inc.",macos
E4:50:EB,"Apple, Inc.",macos
F4:0E:01,"Apple, Inc.",macos
60:70:C0,"Apple, Inc.",macos
C8:B1:CD,"Apple, Inc.",macos
60:8B:0E,"Apple, Inc.",macos
6C:D7:1F,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
50:7A:C5,"Apple, Inc.",macos
50:DE:06,"Apple, Inc.",macos
14:60:CB,"Apple, Inc.",macos
58:20:59,Xiaomi Communications Co Ltd,android
28:16:7F,Xiaomi Communications Co Ltd,android
48:01:C5,"OnePlus Technology (Shenzhen) Co., Ltd",android
58:85:A2,Realme Chongqing MobileTelecommunications Corp Ltd,android
44:AE:AB,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
A4:F0:5E,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
EC:FA:5C,"Beijing Xiaomi Electronics Co., Ltd.",android
0C:20:D3,"vivo Mobile Communication Co., Ltd.",android
18:02:AE,"vivo Mobile Communication Co., Ltd.",android
1C:CC:D6,Xiaomi Communications Co Ltd,android
A4:45:19,Xiaomi Communications Co Ltd,android
58:85:E9,Realme Chongqing MobileTelecommunications Corp Ltd,android
F4:D6:20,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
